time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-29T09:35:09.960Z,40.7634,-127.3127,10,4.1,mb,,194,2.455,1,us,us20004vh5,2017-02-09T21:21:14.366Z,"258km W of Ferndale, California",earthquake,9.1,2,0.144,13,reviewed,us,us
2016-01-28T09:22:14.400Z,40.8285,-127.194,10,4.3,mb,,180,2.374,1.47,us,us20004v9m,2017-02-09T21:14:35.960Z,"249km W of Ferndale, California",earthquake,5.1,1.9,0.134,16,reviewed,us,us
2016-01-25T17:11:14.600Z,40.7065,-126.7482,10,2.9,ml,,259,2.022,0.95,us,us20004uja,2017-02-09T20:58:03.124Z,"210km W of Ferndale, California",earthquake,5.6,2,0.05,52,reviewed,us,us
2016-01-09T13:44:32.570Z,42.291,-126.913,3.99,2.58,md,12,319,1.996,0.62,uw,uw61117876,2016-07-22T20:01:55.290Z,off the coast of Oregon,earthquake,7,31.61,0.087,5,reviewed,uw,uw
2015-12-12T02:22:47.770Z,42.9921667,-126.9256667,4.15,3.3,ml,16,299,2.036,0.78,uw,uw61111611,2016-07-22T20:01:23.220Z,off the coast of Oregon,earthquake,5.73,65.89,0.187,18,reviewed,uw,uw
2015-11-19T03:33:45.110Z,42.9786667,-126.789,16.83,3.25,ml,16,304,1.806,0.54,uw,uw61091692,2016-07-22T20:00:39.040Z,off the coast of Oregon,earthquake,2.87,38.09,0.131,5,reviewed,uw,uw
2015-10-23T16:52:42.690Z,40.8723333,-126.9433333,2.68,2.96,md,15,316,2.096,0.18,nc,nc72542575,2017-02-08T14:54:35.991Z,"228km W of Ferndale, California",earthquake,2.4,31.61,0.087,10,reviewed,nc,nc
2015-10-22T18:35:49.010Z,42.3911667,-126.9261667,3.82,2.57,md,14,306,2.337,0.83,uw,uw61082062,2016-07-22T19:59:17.000Z,off the coast of Oregon,earthquake,7.37,31.61,0.011,5,reviewed,uw,uw
2015-10-15T01:15:12.710Z,40.6453,-127.2007,11.91,3.1,md,,267,2.354,0.83,us,us10003pam,2017-02-08T13:21:54.633Z,"248km W of Ferndale, California",earthquake,9.5,9.5,0.137,16,reviewed,us,nc
2015-09-24T18:42:05.770Z,41.7291,-126.6908,10,2.7,ml,,245,2.096,0.93,us,us10003lf6,2015-12-28T23:08:38.040Z,"202km W of Brookings, Oregon",earthquake,3.7,2,0.069,28,reviewed,us,us
